D,strategy,mean_auc,std_auc,sample_aucs
1,Confession,0.9981870180075857,0.0025219101715183317,"[np.float64(0.9997063913632168), np.float64(1.0), np.float64(0.999984555385554), np.float64(0.9988547606817484), np.float64(0.999588157894195), np.float64(0.9988483403534308), np.float64(0.9932188432981046), np.float64(0.9932358001809221), np.float64(1.0), np.float64(0.9988581759430417), np.float64(0.9995871077434166), np.float64(1.0), np.float64(0.9988460427432386), np.float64(0.9932207904227998), np.float64(0.9988563041041163)]"
2,Confession,0.9999216361708907,0.0001494067540012802,"[np.float64(0.9996227959932705), np.float64(1.0), np.float64(0.9999602162932923), np.float64(1.0), np.float64(0.9997568271553499), np.float64(0.9995288276242462), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999558754972012), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
3,Confession,0.9999823994396022,3.097408259260418e-05,"[np.float64(1.0), np.float64(0.9999966937776896), np.float64(0.999997785467128), np.float64(0.9999878408385342), np.float64(1.0), np.float64(1.0), np.float64(0.9999955917035862), np.float64(0.9999757024463986), np.float64(0.999992269904278), np.float64(0.9998951627671928), np.float64(0.9999955917035862), np.float64(0.9999823045063543), np.float64(1.0), np.float64(1.0), np.float64(0.9999170484792865)]"
4,Confession,0.9999666436309537,4.8687791102848326e-05,"[np.float64(0.9999105450736486), np.float64(0.9998961661869785), np.float64(1.0), np.float64(1.0), np.float64(0.9999966937776896), np.float64(0.9999977906594605), np.float64(0.9999723806470907), np.float64(0.9999966885853571), np.float64(0.999885098714951), np.float64(0.9998608478923424), np.float64(0.9999966885853571), np.float64(1.0), np.float64(1.0), np.float64(0.9999911782148396), np.float64(0.9999955761265886)]"
5,Confession,0.9999785050982813,3.288606975947852e-05,"[np.float64(0.9999581211840685), np.float64(0.9999988927335639), np.float64(1.0), np.float64(0.9999878564155317), np.float64(0.9999557612658858), np.float64(0.9999988979258966), np.float64(0.9999801159351449), np.float64(0.9998719205567023), np.float64(1.0), np.float64(0.9999536453873317), np.float64(0.999997785467128), np.float64(0.9999900813330689), np.float64(0.9999844982698962), np.float64(1.0), np.float64(1.0)]"
6,Confession,0.9999854994394677,1.4683375486330545e-05,"[np.float64(0.9999811920475858), np.float64(0.9999911418685121), np.float64(0.999984545000889), np.float64(0.9999944896294828), np.float64(0.9999977906594605), np.float64(0.9999812595479085), np.float64(0.9999878252615367), np.float64(0.9999933564013841), np.float64(0.9999900605637387), np.float64(0.9999812647402411), np.float64(0.9999834221574553), np.float64(0.999934930896903), np.float64(0.9999944688601528), np.float64(0.9999988979258966), np.float64(0.9999878460308669)]"
7,Confession,0.9999941150021826,8.438060487355989e-06,"[np.float64(0.9999911730225073), np.float64(0.9999977906594605), np.float64(0.9999988979258966), np.float64(1.0), np.float64(0.9999702439992065), np.float64(0.9999789775147139), np.float64(0.9999988927335639), np.float64(0.9999944896294828), np.float64(1.0), np.float64(0.9999988927335639), np.float64(1.0), np.float64(0.9999955917035862), np.float64(0.9999889792589653), np.float64(0.9999988979258966), np.float64(0.9999988979258966)]"
8,Confession,0.9999959562923766,4.117836935783846e-06,"[np.float64(0.9999988979258966), np.float64(0.9999977958517932), np.float64(0.9999977958517932), np.float64(0.9999944844371502), np.float64(0.9999988927335639), np.float64(0.9999988979258966), np.float64(0.9999977958517932), np.float64(0.9999988927335639), np.float64(0.9999988927335639), np.float64(0.9999922854812757), np.float64(0.9999889740666328), np.float64(0.9999955865112536), np.float64(0.9999977958517932), np.float64(0.9999845657702189), np.float64(0.9999977906594605)]"
