D,strategy,mean_auc,std_auc,sample_aucs
1,Unknowable,0.8468508685194577,0.15206217856060744,"[np.float64(0.6641989107419891), np.float64(0.9916500661297848), np.float64(0.9142472741344893), np.float64(0.6642412906271613), np.float64(0.6642552813701965), np.float64(0.9916231918796429), np.float64(0.6643233892935294), np.float64(0.664179375844717), np.float64(0.9143063577777946), np.float64(0.6642518063879265), np.float64(0.9998697319854928), np.float64(0.9916473829873759), np.float64(0.9142394596740416), np.float64(0.9998674966832908), np.float64(0.9998620122744362)]"
2,Unknowable,0.9879431200786132,0.028440540550044607,"[np.float64(0.9978676943092019), np.float64(0.9998354223029748), np.float64(0.9154847514693248), np.float64(0.9998377458748298), np.float64(0.9977683895158508), np.float64(0.9998454084702288), np.float64(0.9998321056959995), np.float64(0.915457099668914), np.float64(1.0), np.float64(0.9978705267296443), np.float64(0.9998321991579848), np.float64(0.9998696592928376), np.float64(0.9978272654536529), np.float64(0.9979477614861476), np.float64(0.999870771751606)]"
3,Unknowable,0.9992081741676728,0.001060952417010899,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9976225483781931), np.float64(1.0), np.float64(1.0), np.float64(0.997742514786669), np.float64(0.999852005337852), np.float64(0.9975713661836835), np.float64(0.9998553998298153), np.float64(0.9978411108296819), np.float64(1.0), np.float64(0.9998552752138348), np.float64(1.0), np.float64(0.9977823919553618)]"
4,Unknowable,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
