D,strategy,mean_auc,std_auc,sample_aucs
1,Logic,0.9009198807856323,0.08685999101634934,"[np.float64(0.9999480934781543), np.float64(0.7967144651565736), np.float64(0.9657931555508599), np.float64(0.796680546830103), np.float64(0.796642800473259), np.float64(0.9658413651258467), np.float64(0.9454615707065201), np.float64(0.9453903499889919), np.float64(0.7967863887975586), np.float64(0.796660253214682), np.float64(0.9658136587967924), np.float64(0.9999480830934893), np.float64(0.9999491903599251), np.float64(0.9454523283546289), np.float64(0.7967159618571004)]"
2,Logic,0.988136235394487,0.016017352755181465,"[np.float64(0.9999536194256692), np.float64(0.9999415121875286), np.float64(0.9999779273639355), np.float64(0.9999834273497878), np.float64(0.9746200227050155), np.float64(0.9784937119129505), np.float64(0.9999492422832503), np.float64(0.9740897627932321), np.float64(0.9999547059227751), np.float64(0.9738954991949524), np.float64(0.9999469810193858), np.float64(0.9999436436430802), np.float64(0.9464026757962657), np.float64(0.9749515535881452), np.float64(0.9999392457313314)]"
3,Logic,0.9918570012895671,0.009933727244019384,"[np.float64(0.9796678764587912), np.float64(0.9999801263198101), np.float64(0.979338221301209), np.float64(0.9999801003581474), np.float64(0.9999437059510704), np.float64(0.9798723689643445), np.float64(0.9999414446872057), np.float64(0.9797209837029577), np.float64(0.9999767889435045), np.float64(0.9999756868694011), np.float64(0.9999447820635113), np.float64(0.9999801418968076), np.float64(0.9795574302011479), np.float64(0.9999812387785785), np.float64(0.9799941228470184)]"
4,Logic,0.9999738666946928,2.7589673010342778e-06,"[np.float64(0.9999746107569603), np.float64(0.9999735138751891), np.float64(0.9999745951799627), np.float64(0.9999767837511719), np.float64(0.999973472336529), np.float64(0.9999679515813467), np.float64(0.9999724169934183), np.float64(0.9999734671441965), np.float64(0.9999712941499848), np.float64(0.9999790398227042), np.float64(0.9999712993423172), np.float64(0.9999746003722951), np.float64(0.9999712993423172), np.float64(0.9999779273639356), np.float64(0.9999757284080613)]"
