D,strategy,mean_auc,std_auc,sample_aucs
1,Confusion,0.8381141389186396,0.14764407885362613,"[np.float64(0.6338601166337606), np.float64(0.6339280402140359), np.float64(0.6338855032714824), np.float64(0.9083178565123926), np.float64(0.926366305971922), np.float64(0.9083855879794145), np.float64(0.9263134907979864), np.float64(0.9082733380299229), np.float64(0.9988070859170106), np.float64(0.9988028956985628), np.float64(0.6338774811116321), np.float64(0.9263281539633363), np.float64(0.9923538241658681), np.float64(0.633999215494079), np.float64(0.9082131880181897)]"
2,Confusion,0.9941149147830797,0.016252737523323735,"[np.float64(0.9987672386027041), np.float64(0.9996905365545015), np.float64(0.9987429008100511), np.float64(0.993901881303797), np.float64(0.9996101007219462), np.float64(0.9996849067603361), np.float64(0.9988676428770432), np.float64(0.9336996322946917), np.float64(0.9988723107900833), np.float64(0.9988747537855863), np.float64(0.9996534814215856), np.float64(0.9997241335878553), np.float64(0.9996952252368715), np.float64(0.9980687131442967), np.float64(0.9938702638548442)]"
3,Confusion,0.9964639376574347,0.007481337458997397,"[np.float64(0.9988249839116248), np.float64(0.9989258230422873), np.float64(0.9782105762291687), np.float64(0.9996183812049158), np.float64(0.998776992414603), np.float64(0.9766720937707175), np.float64(0.9999569671866398), np.float64(0.9997372650151114), np.float64(0.9997085228187685), np.float64(0.9999403218437722), np.float64(0.9987067906816544), np.float64(0.9997206664032368), np.float64(0.9999314533276195), np.float64(0.9986231953117078), np.float64(0.9996050316996936)]"
4,Confusion,0.9997024118676424,0.0002531026468594018,"[np.float64(0.999664657932596), np.float64(0.9996398411457422), np.float64(0.999939282077659), np.float64(0.9999426350309621), np.float64(0.9999292128330847), np.float64(0.9996824520805596), np.float64(0.9994025525195511), np.float64(0.9999602474472875), np.float64(0.9993046704253112), np.float64(0.9999161021751586), np.float64(0.9999480675164916), np.float64(0.9996572925997592), np.float64(0.9999260156497574), np.float64(0.9993883086335265), np.float64(0.9992348399471889)]"
5,Confusion,0.9999366145997032,1.2919665352519346e-05,"[np.float64(0.9999404153057576), np.float64(0.9999204585482474), np.float64(0.9999281834516367), np.float64(0.9999380450029101), np.float64(0.9999591038345239), np.float64(0.9999072751976659), np.float64(0.999931588328265), np.float64(0.9999193928204715), np.float64(0.9999380917339027), np.float64(0.9999371713914375), np.float64(0.9999446782168608), np.float64(0.999950256087701), np.float64(0.9999470381350435), np.float64(0.9999448495638342), np.float64(0.9999426713772899)]"
