D,strategy,mean_auc,std_auc,sample_aucs
1,Psychological,0.9458155247217851,0.08536196859648298,"[np.float64(0.9975843106869686), np.float64(0.9768941999800042), np.float64(0.9768749961168106), np.float64(0.8825966003370593), np.float64(0.9975883399431084), np.float64(0.9975833747675052), np.float64(0.6693652368059801), np.float64(0.9975814834588588), np.float64(0.9975798699369506), np.float64(0.8826170282972207), np.float64(0.8827419793815293), np.float64(0.9768619750281466), np.float64(0.9768597799710962), np.float64(0.9768950917676907), np.float64(0.9976086043478458)]"
2,Psychological,0.9703110634571721,0.03262671591602095,"[np.float64(0.924414864403319), np.float64(0.997753161679762), np.float64(0.9973588813665651), np.float64(0.9245987264538431), np.float64(0.994202084215088), np.float64(0.9241371547070271), np.float64(0.9852891514403106), np.float64(0.9944398557282031), np.float64(0.9973676226675202), np.float64(0.9848355304786015), np.float64(0.9855059277294108), np.float64(0.9256646125378198), np.float64(0.9241249254399199), np.float64(0.9973213848853849), np.float64(0.9976520681248054)]"
3,Psychological,0.9987175322484803,0.0009958593158142638,"[np.float64(0.9993543987606126), np.float64(0.997793937121981), np.float64(0.9966333466512693), np.float64(0.999394952232142), np.float64(0.9977525619623042), np.float64(0.9993613850531748), np.float64(0.9994219108592125), np.float64(0.9968648133669917), np.float64(0.9978312999021248), np.float64(0.9992725389293373), np.float64(0.9994221925447775), np.float64(0.9993613136601283), np.float64(0.9994559713097694), np.float64(0.9994094245807977), np.float64(0.9994329367925797)]"
4,Psychological,0.9994431168943687,5.286393596918358e-05,"[np.float64(0.9994520264305589), np.float64(0.999445621679239), np.float64(0.9994993779710712), np.float64(0.9995186129943612), np.float64(0.9993264782524169), np.float64(0.9995036253051769), np.float64(0.9994457982185446), np.float64(0.9993920055803848), np.float64(0.9994532531206428), np.float64(0.9993687413009551), np.float64(0.999453055812007), np.float64(0.9994360560909191), np.float64(0.9995074209063531), np.float64(0.9994562620803906), np.float64(0.9993884176725093)]"
